0,0
0,0
0,0
0,0
0,1
0,1
0,2
0,2
0,3
0,3
0,4
0,4
0,5
0,5
0,6
0,6
0,7
0,7
0,8
0,8
0,9
0,9
0,10
0,10
0,11
0,11
0,12
0,12
0,13
0,13
0,14
0,14
0,15
0,15
0,16
0,16
0,17
0,17
0,18
0,18
0,19
0,19
0,20
0,20
0,21
0,21
0,22
0,22
0,23
0,23
0,24
0,24
0,25
0,25
0,26
0,26
0,27
0,27
0,28
0,28
0,29
0,29
0,30
0,30
0,31
0,31
0,32
0,32
0,33
0,33
0,34
0,34
0,35
0,35
0,36
0,36
0,37
0,37
0,38
0,38
0,39
0,39
0,40
0,40
0,41
0,41
100,42
100,42
180,43
180,43
198,44
198,44
175,45
175,45
205,46
205,46
20,47
20,47
240,48
240,48
280,49
280,49
80,50
80,50
320,51
320,51
390,52
390,52
380,53
380,53
380,54
380,54
405,55
405,55
48,56
48,56
430,57
430,57
498,58
498,58
495,59
495,59
475,60
475,60
490,61
490,61
980,62
980,62
500,63
500,63
505,64
505,64
505,65
505,65
515,66
515,66
515,67
515,67
58,68
58,68
520,69
520,69
520,70
520,70
520,71
520,71
520,72
520,72
520,73
520,73
588,74
588,74
545,75
545,75
545,76
545,76
545,77
545,77
545,78
545,78
545,79
545,79
598,80
598,80
570,81
570,81
585,82
585,82
585,83
585,83
595,84
595,84
610,85
610,85
610,86
610,86
625,87
625,87
688,88
688,88
640,89
640,89
690,90
690,90
800,91
800,91
700,92
700,92
79,93
79,93
885,94
885,94
825,95
825,95
890,96
890,96
890,97
890,97
930,98
930,98
945,99
945,99
945,100
945,100
948,101
948,101
940,102
940,102
940,103
940,103
940,104
940,104
940,105
940,105
945,106
945,106
945,107
945,107
945,108
945,108
945,109
945,109
945,110
945,110
945,111
945,111
945,112
945,112
1000,113
1000,113
1000,114
1000,114
1050,115
1050,115
1090,116
1090,116
1070,117
1070,117
1110,118
1110,118
1165,119
1165,119
188,120
188,120
1240,121
1240,121
1330,122
1330,122
1930,123
1930,123
1410,124
1410,124
147,125
147,125
198,126
198,126
1520,127
1520,127
1555,128
1555,128
1598,129
1598,129
1590,130
1590,130
1625,131
1625,131
1685,132
1685,132
1655,133
1655,133
168,134
168,134
1688,135
1688,135
1685,136
1685,136
1710,137
1710,137
1780,138
1780,138
1760,139
1760,139
1825,140
1825,140
1885,141
1885,141
189,142
189,142
1970,143
1970,143
830,144
830,144
2030,145
2030,145
2075,146
2075,146
2078,147
2078,147
2110,148
2110,148
2140,149
2140,149
2198,150
2198,150
275,151
275,151
2215,152
2215,152
2248,153
2248,153
2240,154
2240,154
2265,155
2265,155
2285,156
2285,156
285,157
285,157
2320,158
2320,158
